,product_url,product_id,discounted,actualPrice,Frame Finish,Lens Finish,Lens Color,Brand,Frame Color,Frame Material,Frame Shape,Frame Size,Frame Type,Lens Size,Bridge Size,Gender,Type,Virtual TryOn,Frame Width,discountedPrice,Diameter,Base Curve,Water Content,Oxygen Permeability,Lens Material,UV Protection,Contact Lens Replacement,Contact Lens Type,Contact Lens Use,Package Size
Babamio KYAN Blue Light -  Kids Ages - 2-4 Years,https://eyewa.com/ae-en/babamio-kyan-blue-light-kids-ages-2-4-years-000171-0900.html,69632,no,199,,,Clear,Babamio,Purple,Thermoplastic Rubber,Round,Narrow (< 131 mm),Full Rim,47 mm,19 mm,Kids,Blue Light Glasses,No,126 mm,,,,,,,,,,,
The Book Club NIGHT TEAM CRAZY FOR,https://eyewa.com/ae-en/the-book-club-night-team-crazy-for-tbc192316300.html,58378,yes,259,Glossy,,Clear,The Book Club,Green,Plastic,Round,Wide (>139 mm),Full Rim,47 mm,22 mm,"Men, Women",Blue Light Glasses,No,140 mm,149,,,,,,,,,,
Oppen Wrapper,https://eyewa.com/ae-en/oppen-wrapper-opp1901700.html,59663,no,169,Matte,,Clear,Oppen,"Gold, Pink",Metal,Cat Eye,Normal (132-138 mm),Full Rim,46 mm,20 mm,Women,Blue Light Glasses,No,138 mm,,,,,,,,,,,
Babamio EMORY Blue Light Kids Ages - 2-4 Years,https://eyewa.com/ae-en/babamio-emory-blue-light-glasses-ages-2-4-years-000155-2000.html,63521,no,299,Matte,,Clear,Babamio,Yellow,Nylon,Round,Narrow (< 131 mm),Full Rim,38 mm,14 mm,Kids,Blue Light Glasses,No,34 mm,,,,,,,,,,,
Babamio GRACE Blue Light -  Kids Ages - 2-4 Years,https://eyewa.com/ae-en/babamio-grace-blue-light-kids-ages-2-4-years-000172-0900.html,69642,no,199,,,Clear,Babamio,Red,Nylon,Oval,Narrow (< 131 mm),Full Rim,45 mm,16 mm,Kids,Blue Light Glasses,No,125 mm,,,,,,,,,,,
Spectus HEATH Blue Light,https://eyewa.com/ae-en/spectus-heath-blue-light-303-0718.html,59469,no,299,Glossy,,Clear,Spectus,Gray,Metal + Acetate,Hexagon,Wide (>139 mm),Full Rim,53 mm,20 mm,Men,Blue Light Glasses,Yes,142 mm,,,,,,,,,,,
Spectus BROOKS Blue Light,https://eyewa.com/ae-en/spectus-brooks-blue-light-000242-0100.html,61959,no,299,Glossy,,Clear,Spectus,Black,Acetate,Round,Normal (132-138 mm),Full Rim,51 mm,22 mm,"Men, Women",Blue Light Glasses,No,138.6 mm,,,,,,,,,,,
Babamio AUROR Blue Light -  Kids Ages - 2-4 Years,https://eyewa.com/ae-en/babamio-auror-blue-light-kids-ages-2-4-years-000158-0902.html,69640,no,199,,,Clear,Babamio,Pink,Nylon,Oval,Narrow (< 131 mm),Full Rim,45 mm,16 mm,Kids,Blue Light Glasses,No,125 mm,,,,,,,,,,,
Babamio LUPIN Blue Light -  Kids Ages - 2-4 Years,https://eyewa.com/ae-en/babamio-delphi-blue-light-kids-ages-2-4-years-000157-0200.html,69631,no,199,,,Clear,Babamio,Blue,Thermoplastic Rubber,Round,Narrow (< 131 mm),Full Rim,47 mm,19 mm,Kids,Blue Light Glasses,No,126 mm,,,,,,,,,,,
Spectus THEO Blue Light,https://eyewa.com/ae-en/spectus-theo-blue-light-000167-1300.html,58745,yes,299,Glossy,,Clear,Spectus,Tortoise,Acetate,Rectangle,Wide (>139 mm),Full Rim,48 mm,19 mm,Men,Blue Light Glasses,No,140 mm,149,,,,,,,,,,
Spectus CATE Blue Light,https://eyewa.com/ae-en/spectus-cate-blue-light-000233-0400.html,61983,no,299,Glossy,,Clear,Spectus,Beige,Acetate,Cat Eye,Wide (>139 mm),Full Rim,52 mm,22 mm,Women,Blue Light Glasses,No,139 mm,,,,,,,,,,,
Spectus AVA Blue Light,https://eyewa.com/ae-en/spectus-ava-blue-light-000141-1300.html,58704,yes,299,Glossy,,Clear,Spectus,Brown,Acetate,Rectangle,Wide (>139 mm),Full Rim,52 mm,17 mm,Women,Blue Light Glasses,No,140 mm,149,,,,,,,,,,
MVMT MUSE Blue Light,https://eyewa.com/ae-en/mvmt-muse-blue-light-mus-071m-clear.html,62553,no,259,Glossy,,Clear,MVMT,Purple,Metal + Acetate,Cat Eye,Wide (>139 mm),Full Rim,53 mm,19 mm,Women,Blue Light Glasses,No,,,,,,,,,,,,
Spectus BLAKE Blue Light,https://eyewa.com/ae-en/spectus-blake-blue-light-000246-0100.html,61966,no,299,Glossy,,Clear,Spectus,Black,Acetate,Square,Wide (>139 mm),Full Rim,57 mm,16 mm,"Men, Women",Blue Light Glasses,No,144 mm,,,,,,,,,,,
The Book Club AL THE CHEMIST,https://eyewa.com/ae-en/the-book-club-al-the-chemist-tbc192316600.html,58380,yes,239,Glossy,,Clear,The Book Club,White,Plastic,Round,Wide (>139 mm),Full Rim,47 mm,22 mm,Women,Blue Light Glasses,No,145 mm,149,,,,,,,,,,
Spectus AMARA Blue Light,https://eyewa.com/ae-en/spectus-amara-blue-light-000241-1300.html,62003,no,158,Glossy,,Clear,Spectus,Tortoise,Metal + Acetate,Cat Eye,Normal (132-138 mm),Full Rim,48 mm,20 mm,Women,Blue Light Glasses,No,136 mm,,,,,,,,,,,
Spectus MONROE Blue Light,https://eyewa.com/ae-en/spectus-monroe-blue-light-000240-0900.html,62002,no,299,Glossy,,Clear,Spectus,Pink,Acetate,Cat Eye,Normal (132-138 mm),Full Rim,49 mm,19 mm,Women,Blue Light Glasses,No,133 mm,,,,,,,,,,,
Spectus ASPEN Blue Light,https://eyewa.com/ae-en/spectus-aspen-blue-light-000237-1400.html,61993,no,299,Glossy,,Clear,Spectus,Clear,Metal + Acetate,Round,Normal (132-138 mm),Full Rim,49 mm,19 mm,"Men, Women",Blue Light Glasses,No,135 mm,,,,,,,,,,,
The Book Club PRAWN WITH THE GRINS,https://eyewa.com/ae-en/the-book-club-prawn-with-the-grins-tbc202311600.html,61379,yes,239,Glossy,,Clear,The Book Club,Black,Plastic,Cat Eye,Wide (>139 mm),Full Rim,52 mm,19 mm,Women,Blue Light Glasses,No,,149,,,,,,,,,,
Everva Pure - Daily Disposable,https://eyewa.com/ae-en/everva-pure-daily-disposable.html,59665,no,99,,,,Everva,,,,,,,,,,,,,14.2 mm,8.6,55%,27 Dk/t,Oculfilcon D,Yes,Daily,Corrective Contact Lenses,Single Vision,
1-Day Acuvue Moist - Pack of 30,https://eyewa.com/ae-en/one-day-acuvue-moist-pack-of-30-lenses.html,63707,yes,165,,,,Acuvue,,,,,,,,,,,,118,14.2 mm,8.5,58%,33 Dk/t,Etafilcon A,Yes,Daily,Corrective Contact Lenses,Single Vision,
1-Day Acuvue Define Vivid Style - Pack of 30,https://eyewa.com/ae-en/1-day-acuvue-define-vivid-style-pack-of-30.html,12046,yes,200,,,,Acuvue,,,,,,,,,,,,148,14.2 mm,8.5,58%,25.5 Dk/t,Etafilcon A,Yes,Daily,Corrective Contact Lenses,Single Vision,Pack of 30 lenses
Layala Contour - Dazzle Brown,https://eyewa.com/ae-en/layala-contour-lenses-dazzle-brown.html,62604,no,59,,,,Layala,,,,,,,,,,,,,14.2 mm,8.6,55%,,Methafilcon,Yes,Daily,Corrective Contact Lenses,Single Vision,
1-Day Acuvue Moist - Pack of 90,https://eyewa.com/ae-en/1-day-acuvue-moist-pack-of-90-lenses.html,62416,yes,410,,,,Acuvue,,,,,,,,,,,,304,14.2 mm,8.5,58%,34 Dk/t,Etafilcon A,Yes,Daily,Corrective Contact Lenses,Single Vision,
Dailies AquaComfort Plus - Pack of 30,https://eyewa.com/ae-en/dailies-aqua-comfort-plus-pack-of-30.html,63712,yes,125,,,,Dailies,,,,,,,,,,,,98,14.0 mm,8.7,69%,26 Dk/t,Nelfilcon A,No,Daily,Corrective Contact Lenses,Single Vision,
Acuvue Oasys 1-Day with HydraLuxe - Pack of 90,https://eyewa.com/ae-en/acuvue-oasys-one-day-pack-of-90-lenses.html,63709,yes,500,,,,Acuvue,,,,,,,,,,,,373,14.3 mm,8.5,38%,121 Dk/t,Senofilcon A,Yes,Daily,Corrective Contact Lenses,Single Vision,
Everva Pure - Daily Disposable - Trial Pack,https://eyewa.com/ae-en/everva-pure-daily-disposable-pack-of-05.html,59728,no,20,,,,Everva,,,,,,,,,,,,,,,,,,,Daily,Corrective Contact Lenses,Single Vision,
1-Day Acuvue Define Natural Shine - Pack of 30,https://eyewa.com/ae-en/1-day-acuvue-define-natural-shine-pack-of-30.html,12047,yes,200,,,,Acuvue,,,,,,,,,,,,148,14.2 mm,8.5,58%,25.5 Dk/t,Etafilcon A,Yes,Daily,Corrective Contact Lenses,Single Vision,Pack of 30 lenses
Dailies Total 1 - Pack of 30,https://eyewa.com/ae-en/dailies-total-one-pack-of-30-lenses.html,63710,yes,220,,,,Dailies,,,,,,,,,,,,163,14.1 mm,8.5,80%,156 Dk/t,Nelfilcon A,No,Daily,Corrective Contact Lenses,Single Vision,
Air Optix Plus Hydraglyde - Pack of 6,https://eyewa.com/ae-en/air-optix-aqua-pack-of-6.html,12086,yes,195,,,,Air Optix,,,,,,,,,,,,142,14.2 mm,8.6,33%,138 Dk/t,Lotrafilcon B,No,Monthly,Corrective Contact Lenses,Single Vision,Pack of 6 lenses
1-Day Acuvue Define Radiant Bright - Pack of 30,https://eyewa.com/ae-en/1-day-acuvue-define-radiant-bright-pack-of-30.html,13232,yes,200,,,,Acuvue,,,,,,,,,,,,148,14.2 mm,8.5,58%,25.5 Dk/t,Etafilcon A,Yes,Daily,Corrective Contact Lenses,Single Vision,Pack of 30 lenses
Acuvue Oasys 1-Day with HydraLuxe - Pack of 30,https://eyewa.com/ae-en/acuvue-oasys-one-day-pack-of-30-lenses.html,63708,yes,200,,,,Acuvue,,,,,,,,,,,,144,14.3 mm,8.5,38%,121 Dk/t,Senofilcon A,Yes,Daily,Corrective Contact Lenses,Single Vision,
Acuvue 2 - Pack of 6,https://eyewa.com/ae-en/acuvue-2-pack-of-6.html,12040,yes,125,,,,Acuvue,,,,,,,,,,,,88,14.0 mm,8.7,58%,33 Dk/t,Etafilcon A,Yes,Bi-weekly,Corrective Contact Lenses,Single Vision,Pack of 6 lenses
Dailies AquaComfort Plus - Pack of 90,https://eyewa.com/ae-en/dailies-aqua-comfort-plus-pack-of-90.html,63713,yes,330,,,,Dailies,,,,,,,,,,,,250,14.0 mm,8.7,69%,26 Dk/t,Nelfilcon A,No,Daily,Corrective Contact Lenses,Single Vision,
Dailies Total 1 - Pack of 90,https://eyewa.com/ae-en/dailies-total-one-pack-of-90-lenses.html,63711,yes,550,,,,Dailies,,,,,,,,,,,,428,14.1 mm,8.5,80%,156 Dk/t,Nelfilcon A,No,Daily,Corrective Contact Lenses,Single Vision,
PRECISION1 One-Day - Pack of 90,https://eyewa.com/ae-en/precision1-one-day-pack-of-90.html,63795,no,420,,,,PRECISION1,,,,,,,,,,,,,,,,,,,Daily,Corrective Contact Lenses,Single Vision,
SofLens 59 - Pack of 6,https://eyewa.com/ae-en/soflens-59-pack-of-6.html,12101,yes,120,,,,SofLens,,,,,,,,,,,,88,14.2 mm,8.6,59%,22 Dk/t,Hilafilcon B,No,Monthly,Corrective Contact Lenses,Single Vision,Pack of 6 lenses
Biotrue ONEday - Pack of 30,https://eyewa.com/ae-en/biotrue-oneday-pack-of-30-lenses.html,63705,yes,165,,,,Biotrue,,,,,,,,,,,,128,14.2 mm,8.6,78%,42 Dk/t,Nesofilcon A,Yes,Daily,Corrective Contact Lenses,Single Vision,
Dailies AquaComfort Plus Toric - Pack of 30,https://eyewa.com/ae-en/dailies-aquacomfort-plus-toric-pack-of-30.html,12108,yes,185,,,,Dailies,,,,,,,,,,,,165,14.4 mm,8.8,69%,26 Dk/t,Nelfilcon A,No,Daily,Corrective Contact Lenses,Toric For Astigmatism,Pack of 30 lenses
Biotrue ONEday - Pack of 90,https://eyewa.com/ae-en/biotrue-oneday-pack-of-90-lenses.html,63706,yes,485,,,,Biotrue,,,,,,,,,,,,348,14.2 mm,8.6,78%,42 Dk/t,Nesofilcon A,Yes,Daily,Corrective Contact Lenses,Single Vision,
1-Day Acuvue Moist For Astigmatism - Pack of 30,https://eyewa.com/ae-en/1-day-acuvue-moist-for-astigmatism-pack-of-30.html,12043,yes,195,,,,Acuvue,,,,,,,,,,,,152,14.5 mm,8.5,58%,23.8 Dk/t,Etafilcon A,Yes,Daily,Corrective Contact Lenses,Toric For Astigmatism,Pack of 30 lenses
SofLens Daily Disposable - Pack of 30,https://eyewa.com/ae-en/soflens-daily-disposable-pack-of-30lenses.html,63696,yes,150,,,,SofLens,,,,,,,,,,,,98,14.2 mm,8.6,59%,19 Dk/t,Hilafilcon B,No,Daily,Corrective Contact Lenses,Single Vision,
PureVision 2 HD - Pack of 6,https://eyewa.com/ae-en/purevision-2-hd-pack-of-6.html,12103,yes,190,,,,PureVision,,,,,,,,,,,,139,14.0 mm,8.6,36%,130 Dk/t,Balafilcon A,No,Monthly,Corrective Contact Lenses,Single Vision,Pack of 6 lenses
SofLens Daily Disposable - Pack of 90,https://eyewa.com/ae-en/soflens-daily-disposable-pack-of-90lenses.html,63697,yes,320,,,,SofLens,,,,,,,,,,,,248,14.2 mm,8.6,59%,19 Dk/t,Hilafilcon B,No,Daily,Corrective Contact Lenses,Single Vision,
Air Optix For Astigmatism - Pack of 3,https://eyewa.com/ae-en/air-optix-for-astigmatism-pack-of-3.html,12085,yes,210,,,,Air Optix,,,,,,,,,,,,184,14.5 mm,8.7,33%,110 Dk/t,Lotrafilcon B,No,Monthly,Corrective Contact Lenses,Toric For Astigmatism,Pack of 3 lenses
Biomedics 1 Day Extra - Pack of 30,https://eyewa.com/ae-en/biomedics-one-day-extra-pack-of-30-lenses.html,63694,yes,140,,,,Biomedics,,,,,,,,,,,,98,14.2 mm,"8.6, 8.8",55%,27 Dk/t,Ocufilcon D,No,Daily,Corrective Contact Lenses,Single Vision,
Biofinity - Pack of 6,https://eyewa.com/ae-en/biofinity-pack-of-06lenses.html,63702,yes,300,,,,Biofinity,,,,,,,,,,,,225,14.0 mm,8.6,48%,160 Dk/t,Comfilcon A,No,Monthly,Corrective Contact Lenses,Single Vision,
Clariti 1 Day Daily Disposable - Pack of 30 lenses,https://eyewa.com/ae-en/clariti-one-day-daily-disposable-pack-of-30-lenses.html,63703,no,185,,,,Clariti,,,,,,,,,,,,,14.1 mm,8.6,56%,86 Dk/t,Somofilcon A,Yes,Daily,Corrective Contact Lenses,Single Vision,
Avaira Vitality - Pack of 6,https://eyewa.com/ae-en/avaira-pack-of-6.html,12065,yes,175,,,,Avaira,,,,,,,,,,,,149,14.2 mm,8.4,55%,110 Dk/t,Fanfilcon A,Yes,Monthly,Corrective Contact Lenses,Single Vision,Pack of 6 lenses
SofLens Toric - Pack of 6,https://eyewa.com/ae-en/soflens-toric-pack-of-6.html,12097,yes,250,,,,SofLens,,,,,,,,,,,,196,14.5 mm,8.5,66%,32 Dk/t,Alphafilcon A,No,Monthly,Corrective Contact Lenses,Toric For Astigmatism,Pack of 6 lenses
 Acuvue Oasys With Transitions - Pack of 6,https://eyewa.com/ae-en/acuvue-oasys-with-transitions-pack-of-6.html,13759,yes,219,,,,Acuvue,,,,,,,,,,,,195,14.0 mm,8.4,38%,121 Dk/t,Senofilcon A,Yes,Bi-weekly,Corrective Contact Lenses,Single Vision,Pack of 6 lenses
PureVision 2 HD For Astigmatism - Pack of 6,https://eyewa.com/ae-en/purevision-2-hd-for-astigmatism-pack-of-6.html,12102,yes,330,,,,PureVision,,,,,,,,,,,,250,14.5 mm,8.9,36%,91 Dk/t,Balafilcon A,No,Monthly,Corrective Contact Lenses,Toric For Astigmatism,Pack of 6 lenses
Proclear 1 Day - Pack of 30,https://eyewa.com/ae-en/proclear-1-day-pack-of-30.html,12070,yes,125,,,,Proclear,,,,,,,,,,,,105,14.2 mm,8.7,60%,28 Dk/t,Omafilcon A,No,Daily,Corrective Contact Lenses,Single Vision,Pack of 30 lenses
Air Optix Night & Day Aqua - Pack of 3,https://eyewa.com/ae-en/air-optix-night-day-aqua-pack-of-3.html,12084,yes,245,,,,Air Optix,,,,,,,,,,,,214,13.8 mm,8.6,24%,175 Dk/t,Lotrafilcon A,No,Monthly,Corrective Contact Lenses,Single Vision,Pack of 3 lenses
SofLens Daily Disposable Toric - Pack of 30,https://eyewa.com/ae-en/soflens-daily-disposable-toric-pack-of-30.html,12098,yes,210,,,,SofLens,,,,,,,,,,,,159,14.2 mm,8.6,59%,22 Dk/t,Hilafilcon B,No,Daily,Corrective Contact Lenses,Toric For Astigmatism,Pack of 30 lenses
Proclear Sphere - Pack of 6,https://eyewa.com/ae-en/proclear-sphere-pack-of-6.html,12069,yes,120,,,,Proclear,,,,,,,,,,,,119,14.2 mm,8.6,62%,36 Dk/t,Omafilcon B,No,Monthly,Corrective Contact Lenses,Single Vision,Pack of 6 lenses
Acuvue Oasys for Astigmatism - Pack of 6,https://eyewa.com/ae-en/acuvue-oasys-for-astigmatism-pack-of-6.html,11719,yes,240,,,,Acuvue,,,,,,,,,,,,189,14.5 mm,8.6,38%,129 Dk/t,Senofilcon A,Yes,Bi-weekly,Corrective Contact Lenses,Toric For Astigmatism,Pack of 6 lenses
Biomedics 1 Day Extra - Pack of 90,https://eyewa.com/ae-en/biomedics-one-day-extra-pack-of-90-lenses.html,63695,no,345,,,,Biomedics,,,,,,,,,,,,,14.2 mm,"8.6, 8.8",55%,27 Dk/t,Ocufilcon D,No,Daily,Corrective Contact Lenses,Single Vision,
Biofinity XR - Pack of 3,https://eyewa.com/ae-en/biofinity-xr-pack-of-3.html,12058,yes,300,,,,Biofinity,,,,,,,,,,,,268,14.0 mm,8.6,48%,128 Dk/t,Comfilcon A,No,Monthly,Corrective Contact Lenses,Single Vision,Pack of 3 lenses
Clariti 1 Day Daily Disposable - Pack of 90 lenses,https://eyewa.com/ae-en/clariti-one-day-daily-disposable-pack-of-90-lenses.html,63704,no,485,,,,Clariti,,,,,,,,,,,,,14.1 mm,8.6,56%,86 Dk/t,Somofilcon A,Yes,Daily,Corrective Contact Lenses,Single Vision,
PRECISION1 One-Day,https://eyewa.com/ae-en/precision1-one-day.html,63731,no,165,,,,PRECISION1,,,,,,,,,,,,,14.2 mm,8.3,51%,100 Dk/t,Verofilicon A,Yes,Daily,Corrective Contact Lenses,Single Vision,
Acuvue Oasys 1-Day for Astigmatism - With HydraLuxe,https://eyewa.com/ae-en/acuvue-oasys-1-day-for-astigmatism.html,62638,no,220,,,,Acuvue,,,,,,,,,,,,,14.3 mm,8.5,38%,129 Dk/t,Senofilcon A,Yes,Daily,Corrective Contact Lenses,Toric For Astigmatism,
Layala Contour - Dazzle Black,https://eyewa.com/ae-en/layala-contour-lenses-dazzle-black.html,62570,no,59,,,,Layala,,,,,,,,,,,,,14.2 mm,8.6,55%,,Methafilcon,Yes,Daily,Corrective Contact Lenses,Single Vision,
Clalen Iris Jazz Black - Pack of 30,https://eyewa.com/ae-en/clalen-iris-jazz-black.html,58860,no,149,,,,Clalen,,,,,,,,,,,,,14.2 mm,8.6,55%,,Methafilcon A,Yes,Daily,Corrective Contact Lenses,Single Vision,
Clalen Iris Alicia Brown - Pack of 30,https://eyewa.com/ae-en/clalen-iris-alicia-brown.html,58809,no,149,,,,Clalen,,,,,,,,,,,,,14.2 mm,8.6,55%,,Methafilcon A,Yes,Daily,Corrective Contact Lenses,Single Vision,
Dailies Total 1 - Daily Disposable,https://eyewa.com/ae-en/dailies-dailies-total-1.html,12732,yes,220,,,,Dailies,,,,,,,,,,,,163,14.1 mm,8.5,80%,156 Dk/t,Nelfilcon A,No,Daily,Corrective Contact Lenses,Single Vision,
Clariti 1 Day Toric Daily Disposable ,https://eyewa.com/ae-en/clariti-clariti-1-day-toric.html,12650,yes,230,,,,Clariti,,,,,,,,,,,,205,14.3 mm,8.6,56%,57 Dk/t,Somofilcon A,Yes,Daily,Corrective Contact Lenses,Toric For Astigmatism,
Clariti 1 Day Daily Disposable,https://eyewa.com/ae-en/clariti-clariti-1-day.html,12628,no,185,,,,Clariti,,,,,,,,,,,,,,,,,,,Daily,Corrective Contact Lenses,Single Vision,
SofLens Daily Disposable,https://eyewa.com/ae-en/soflens-daily-disposable.html,12107,yes,150,,,,SofLens,,,,,,,,,,,,98,14.2 mm,8.6,59%,19 Dk/t,Hilafilcon B,No,Daily,Corrective Contact Lenses,Single Vision,
Biotrue ONEday,https://eyewa.com/ae-en/biotrue-oneday.html,12106,yes,165,,,,Biotrue,,,,,,,,,,,,128,14.2 mm,8.6,78%,42 Dk/t,Nesofilcon A,Yes,Daily,Corrective Contact Lenses,Single Vision,
Dailies AquaComfort Plus,https://eyewa.com/ae-en/dailies-aquacomfort-plus.html,12083,yes,125,,,,Dailies,,,,,,,,,,,,98,,,,,,,Daily,Corrective Contact Lenses,Single Vision,
Biofinity Toric,https://eyewa.com/ae-en/biofinity-toric.html,12061,yes,320,,,,Biofinity,,,,,,,,,,,,280,14.5 mm,8.7,48%,116 Dk/t,Comfilcon A,No,Monthly,Corrective Contact Lenses,Toric For Astigmatism,
Biomedics 1 Day Extra,https://eyewa.com/ae-en/biomedics-1-day-extra.html,12056,yes,140,,,,Biomedics,,,,,,,,,,,,98,14.2 mm,"8.6, 8.8",55%,27 Dk/t,Ocufilcon D,No,Daily,Corrective Contact Lenses,Single Vision,
Acuvue Oasys 1-Day,https://eyewa.com/ae-en/acuvue-oasys-1-day.html,12052,yes,200,,,,Acuvue,,,,,,,,,,,,144,14.3 mm,8.5,38%,121 Dk/t,Senofilcon A,Yes,Daily,Corrective Contact Lenses,Single Vision,
1-Day Acuvue Moist,https://eyewa.com/ae-en/one-day-acuvue-moist.html,12051,yes,165,,,,Acuvue,,,,,,,,,,,,118,14.2 mm,8.5,58%,33 Dk/t,Etafilcon A,Yes,Daily,Corrective Contact Lenses,Single Vision,
Acuvue Oasys with Hydraclear Plus,https://eyewa.com/ae-en/acuvue-oasys-with-hydraclear-plus.html,11718,yes,180,,,,Acuvue,,,,,,,,,,,,129,14.0 mm,8.4,38%,129 Dk/t,Senofilcon A,Yes,Bi-weekly,Corrective Contact Lenses,Single Vision,
Acuvue Oasys with Hydraclear Plus - Pack of 06,https://eyewa.com/ae-en/acuvue-oasys-with-hydraclear-plus-pack-of-6lenses.html,63700,yes,180,,,,Acuvue,,,,,,,,,,,,129,14.0 mm,8.4,38%,129 Dk/t,Senofilcon A,Yes,Bi-weekly,Corrective Contact Lenses,Single Vision,
PRECISION1 One-Day - Pack of 30,https://eyewa.com/ae-en/precision1-one-day-pack-of-30.html,63732,no,165,,,,PRECISION1,,,,,,,,,,,,,,8.3,51%,,,,Daily,Corrective Contact Lenses,Single Vision,
Layala lenses - 2 lenses,https://eyewa.com/ae-en/layala-lenses-pack-of-2.html,13697,no,149,,,,Layala,,,,,,,,,,,,,"14.0 mm, 14.2 mm, 14.5 mm",8.6,38%,,,,3 months,Color Contact Lenses,Beauty,Pack of 2 lenses
Diva Color Contact Lenses - 2 lenses,https://eyewa.com/ae-en/diva-color-contact-lenses-pack-of-2.html,54545,no,140,,,,Diva,,,,,,,,,,,,,14.5 mm,8.6,43%,,,,3 months,Color Contact Lenses,Beauty,Pack of 2 lenses
Amara Lenses - 2 lenses,https://eyewa.com/ae-en/amara-lenses-pack-of-2.html,13237,no,149,,,,Amara,,,,,,,,,,,,,14.5 mm,8.7,38%,,,,Monthly,Color Contact Lenses,Beauty,Pack of 2 lenses
Layala 2021 Collection - 2 lenses,https://eyewa.com/ae-en/layala-2021-collection-pack-of-2.html,63522,no,149,,,,Layala,,,,,,,,,,,,,"14.0 mm, 14.5 mm",8.6,38%,,,,3 months,Color Contact Lenses,Beauty,Pack of 2 lenses
Freshlook Mystic - 30 lenses,https://eyewa.com/ae-en/freshlook-mystic-pack-of-30.html,12946,yes,215,,,,FreshLook,,,,,,,,,,,,188,13.8 mm,8.6,69%,,,,Daily,Color Contact Lenses,Beauty,Pack of 30 lenses
Bella Elite - 2 lenses,https://eyewa.com/ae-en/bella-elite-pack-of-2.html,11911,no,159,,,,Bella,,,,,,,,,,,,,14.5 mm,8.6,38%,,,,Monthly,Color Contact Lenses,Beauty,Pack of 2 lenses
Bella Elite 2021 Collection - 2 lenses,https://eyewa.com/ae-en/bella-elite-2021-collection-pack-of-2.html,64207,no,160,,,,Bella,,,,,,,,,,,,,14.5 mm,8.6,38%,,,,3 months,Color Contact Lenses,Beauty,Pack of 2 lenses
Amara 2021 Collection,https://eyewa.com/ae-en/amara-2021-collection-pack-of-2.html,64074,no,148,,,,Amara,,,,,,,,,,,,,14.5 mm,8.7,38%,,,,Monthly,Color Contact Lenses,Beauty,Pack of 2 lenses
Layala 2020 Collection - 2 lenses,https://eyewa.com/ae-en/layala-2020-collection-pack-of-2.html,57875,no,149,,,,Layala,,,,,,,,,,,,,14.2 mm,8.6,38%,,,,3 months,Color Contact Lenses,Beauty,Pack of 2 lenses
NewLens Color Contact Lenses - 2 Lenses,https://eyewa.com/ae-en/newlens-color-contact-lenses-pack-of-2.html,69610,no,150,,,,NewLens,,,,,,,,,,,,,14.2 mm,8.6,38%,,,,6 months,Color Contact Lenses,Beauty,Pack of 2 lenses
Celena Natural - 2 lenses,https://eyewa.com/ae-en/celena-natural-pack-of-2.html,68270,no,160,,,,Celena,,,,,,,,,,,,,14.5 mm,8.6,38%,,,,3 months,Color Contact Lenses,Beauty,Pack of 2 lenses
Diva 2021 Collection - 2 lenses,https://eyewa.com/ae-en/diva-color-contact-lenses-2021-pack-of-2.html,64400,no,140,,,,Diva,,,,,,,,,,,,,14.5 mm,8.6,43%,,,,Monthly,Color Contact Lenses,Beauty,Pack of 2 lenses
Amara 2020 Collection - 2 lenses,https://eyewa.com/ae-en/amara-2020-collection-pack-of-2.html,59174,no,158,,,,Amara,,,,,,,,,,,,,14.5 mm,8.7,38%,,,,Monthly,Color Contact Lenses,Beauty,Pack of 2 lenses
Lensme - 2 lenses,https://eyewa.com/ae-en/lensme-pack-of-2.html,12745,no,150,,,,Lensme,,,,,,,,,,,,,14.2 mm,8.6,38%,,,,6 months,Color Contact Lenses,Beauty,Pack of 2 lenses
FreshLook One-Day Colorblends - Pack of 30,https://eyewa.com/ae-en/freshlook-one-day-colorblends-pack-of-30.html,11946,yes,215,,,,FreshLook,,,,,,,,,,,,189,13.8 mm,8.6,69%,,,,Daily,Color Contact Lenses,Beauty,Pack of 30 lenses
Bella One Day - 10 Lenses,https://eyewa.com/ae-en/bella-oneday-pack-of-10.html,69408,no,105,,,,Bella,,,,,,,,,,,,,14.2 mm,8.6,55%,,,,Daily,Color Contact Lenses,Beauty,Pack of 10 lenses
Bella Elite 2020 Collection,https://eyewa.com/ae-en/bella-elite-2020-collection-pack-of-2.html,59044,no,159,,,,Bella,,,,,,,,,,,,,14.5 mm,8.6,38%,,,,3 months,Color Contact Lenses,Beauty,Pack of 2 lenses
FreshLook Colorblends - 2 lenses,https://eyewa.com/ae-en/freshlook-colorblends-pack-of-2.html,11945,yes,140,,,,FreshLook,,,,,,,,,,,,113,14.5 mm,8.6,69%,,,,Monthly,Color Contact Lenses,Beauty,Pack of 2 lenses
Bella Glow - 2 lenses,https://eyewa.com/ae-en/bella-glow-pack-of-2.html,11910,no,149,,,,Bella,,,,,,,,,,,,,14.5 mm,8.6,38%,,,,Monthly,Color Contact Lenses,Beauty,Pack of 2 lenses
Anesthesia - Addict - 2 lenses,https://eyewa.com/ae-en/anesthesia-addict-pack-of-2.html,12671,yes,175,,,,Anesthesia,,,,,,,,,,,,152,14.2 mm,8.6,38%,,,,6 months,Color Contact Lenses,Beauty,Pack of 2 lenses
