,product_url,product_id,discounted,actualPrice,Frame Finish,Lens Finish,Lens Color,Brand,Frame Color,Frame Material,Frame Shape,Frame Size,Frame Type,Lens Size,Bridge Size,Gender,Type,Virtual TryOn,Frame Width,discountedPrice,Diameter,Base Curve,Water Content,Oxygen Permeability,Lens Material,UV Protection,Contact Lens Replacement,Contact Lens Type,Contact Lens Use,Package Size
Anesthesia - USA - 2 lenses - Chicago Apricot,https://eyewa.com/ae-en/anesthesia-usa-pack-of-2-chicago-apricot.html,12692,yes,221,,,,Anesthesia,,,,,,,,,,,,162,14.2 mm,8.6,38%,,,,6 months,Color Contact Lenses,Beauty,Pack of 2 lenses
Anesthesia - Addict - 2 lenses - Gray,https://eyewa.com/ae-en/anesthesia-addict-pack-of-2-gray.html,12671,yes,175,,,,Anesthesia,,,,,,,,,,,,152,14.2 mm,8.6,38%,,,,6 months,Color Contact Lenses,Beauty,Pack of 2 lenses
Anesthesia - Addict - 2 lenses - Amarillo,https://eyewa.com/ae-en/anesthesia-addict-pack-of-2-amarillo.html,12671,yes,175,,,,Anesthesia,,,,,,,,,,,,152,14.2 mm,8.6,38%,,,,6 months,Color Contact Lenses,Beauty,Pack of 2 lenses
FreshLook One-Day Colorblends - Pack of 30 - Green,https://eyewa.com/ae-en/freshlook-one-day-colorblends-pack-of-30-green.html,11946,yes,215,,,,FreshLook,,,,,,,,,,,,189,13.8 mm,8.6,69%,,,,Daily,Color Contact Lenses,Beauty,Pack of 30 lenses
FreshLook Colors - Pack of 2 - Hazel,https://eyewa.com/ae-en/freshlook-colors-pack-of-2-hazel.html,11944,yes,140,,,,FreshLook,,,,,,,,,,,,113,14.5 mm,8.6,55%,,,,Monthly,Color Contact Lenses,Beauty,Pack of 2 lenses
Air Optix Colors - 2 lenses - Blue,https://eyewa.com/ae-en/air-optix-colors-pack-of-2-blue.html,11943,no,200,,,,Air Optix,,,,,,,,,,,,,14.2 mm,8.6,33%,,,,Monthly,Color Contact Lenses,Beauty,Pack of 2 lenses
Anesthesia - USA - 2 lenses - New York Oliva,https://eyewa.com/ae-en/anesthesia-usa-pack-of-2-new-york-oliva.html,12692,yes,221,,,,Anesthesia,,,,,,,,,,,,162,14.2 mm,8.6,38%,,,,6 months,Color Contact Lenses,Beauty,Pack of 2 lenses
Anesthesia - USA - 2 lenses - Miami Sapphire,https://eyewa.com/ae-en/anesthesia-usa-pack-of-2-miami-sapphire.html,12692,yes,221,,,,Anesthesia,,,,,,,,,,,,162,14.2 mm,8.6,38%,,,,6 months,Color Contact Lenses,Beauty,Pack of 2 lenses
Anesthesia - Dream - 2 lenses - Hazel,https://eyewa.com/ae-en/anesthesia-dream-pack-of-2-hazel.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Loggia Frutti - 2 lenses - Mela,https://eyewa.com/ae-en/la-loggia-frutti-pack-of-2-mela.html,12436,no,120,,,,La Loggia,,,,,,,,,,,,,14.2 mm,8.6,60%,,,,Monthly,Color Contact Lenses,Beauty,Pack of 2 lenses
